Precisión	Probabilidad	Error	Tiempo (ms)
0.1	6.97836e-19	2.92368e-23	1642
0.118	6.97836e-19	2.92368e-23	1627
0.136	6.97836e-19	2.92368e-23	1627
0.154	6.97836e-19	2.92368e-23	1631
0.172	6.97836e-19	2.92368e-23	1633
0.19	6.97836e-19	2.92368e-23	1632
0.208	6.97836e-19	2.92368e-23	1636
0.226	6.97836e-19	2.92368e-23	1636
0.244	6.97836e-19	2.92368e-23	1639
0.262	6.97836e-19	2.92368e-23	1641
0.28	6.97836e-19	2.92368e-23	1624
0.298	6.97836e-19	2.92368e-23	1628
0.316	6.97836e-19	2.92368e-23	1652
0.334	6.97836e-19	2.92368e-23	1630
0.352	6.97836e-19	2.92368e-23	1634
0.37	6.97836e-19	2.92368e-23	1636
0.388	6.97836e-19	2.92368e-23	1644
0.406	6.97836e-19	2.92368e-23	1630
0.424	6.97836e-19	2.92368e-23	1637
0.442	6.97836e-19	2.92368e-23	1641
0.46	6.97836e-19	2.92368e-23	1640
0.478	6.97836e-19	2.92368e-23	1634
0.496	6.97836e-19	2.92368e-23	1628
0.514	6.97836e-19	2.92368e-23	1629
0.532	6.97836e-19	2.92368e-23	1645
0.55	6.97836e-19	2.92368e-23	1629
0.568	6.97836e-19	2.92368e-23	1630
0.586	6.97836e-19	2.92368e-23	1625
0.604	6.97836e-19	2.92368e-23	1638
0.622	6.97836e-19	2.92368e-23	1638
0.64	6.97836e-19	2.92368e-23	1638
0.658	6.97836e-19	2.92368e-23	1637
0.676	6.97836e-19	2.92368e-23	1629
0.694	6.97836e-19	2.92368e-23	1643
0.712	6.97836e-19	2.92368e-23	1640
0.73	6.97836e-19	2.92368e-23	1657
0.748	6.97836e-19	2.92368e-23	1641
0.766	6.97836e-19	2.92368e-23	1629
0.784	6.97836e-19	2.92368e-23	1629
0.802	6.97836e-19	2.92368e-23	1636
0.82	6.97836e-19	2.92368e-23	1636
0.838	6.97836e-19	2.92368e-23	1635
0.856	6.97836e-19	2.92368e-23	1637
0.874	6.97836e-19	2.92368e-23	1631
0.892	6.97836e-19	2.92368e-23	1628
0.91	6.97836e-19	2.92368e-23	1630
0.928	6.97836e-19	2.92368e-23	1627
0.946	6.97836e-19	2.92368e-23	1637
0.964	6.97836e-19	2.92368e-23	1636
0.982	6.97836e-19	2.92368e-23	1721
